Ghost_Name,Algorithm,Search_Time(s),Expanded_Nodes,Memory_Usage(MB),Ghost_Pos_X,Ghost_Pos_Y,Pacman_Pos_X,Pacman_Pos_Y
OrangeGhost,UCS,0.008904,276,0.027360,10,29,19,12
PinkGhost,DFS,0.001047,67,0.021392,28,6,19,12
BlueGhost,BFS,0.006665,230,0.025464,6,5,19,12
RedGhost,A*,0.000000,18,0.009792,24,24,19,12
OrangeGhost,UCS,0.008904,276,0.027360,10,29,19,12
PinkGhost,DFS,0.001047,67,0.021392,28,7,19,12
BlueGhost,BFS,0.006665,230,0.025464,7,5,20,12
RedGhost,A*,0.000000,19,0.009736,24,23,20,12
OrangeGhost,UCS,0.007610,284,0.027664,10,28,20,12
PinkGhost,DFS,0.001031,67,0.021504,28,7,20,12
BlueGhost,BFS,0.008035,254,0.027112,7,5,20,12
RedGhost,A*,0.000000,19,0.009736,24,23,20,12
OrangeGhost,UCS,0.007610,284,0.027664,10,28,20,12
PinkGhost,DFS,0.001031,67,0.021504,28,7,20,12
BlueGhost,BFS,0.008035,254,0.027112,7,5,20,12
RedGhost,A*,0.000000,19,0.009736,24,23,20,12
OrangeGhost,UCS,0.007610,284,0.027664,10,28,20,12
PinkGhost,DFS,0.001031,67,0.021504,28,8,20,12
BlueGhost,BFS,0.008035,254,0.027112,8,5,20,12
